key	text	tooltip
advice_info_texts_localised_text_war.battle.hp.tcs_phases.005	The Hero Phase starts off with a morale check for each unit in the active player's army. When their leadership dips below a configured threshold, the unit must make a Break Check. A dice is cast and if the result exceeds the current leadership of the unit they will withdraw from combat.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.006	Following the Morale Check of a players army they are awarded Winds of Magic for each caster-type unit they field in their armies. The amount of Winds per wizard can be configured through the [[sl:battle_tcs_config]]settings menu[[/sl]].	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.007	Afterwards the player may assume control over their units and issue orders to activate abilities or cast spells. Buffs and Debuffs that do not have a healing or damaging component will remain active until the player's next Hero Phase. Note that many spells have a higher chance of miscasting than they would typically in regular TW.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.008	Some spells require the caster to fire a projectile. Due to the inner workings of the mod, such spells can only be cast during the Shoot Phase and only while under the effect of a [[sl:battle_tcs_activations]]Shoot Activation[[/sl]].	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.009		false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.010	Move Phase	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.011	The Hero Phase is followed by the Move Phase. During this phase you may move your units about on the battlefield through various [[sl:battle_tcs_activations]]Activations[[/sl]]. Each unit is alotted a certain Movement Budget. This represents the distance a unit can move about, or use to wheel their formation around. Using the Unit Status Panel you can see how much movement budget is left for the selected unit, and how much movement a Move Activation would cost under your cursor.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.012	Moving into combat range of an enemy unit is prohibited and will also result in a failed movement, but fear not, you may still Activate your unit at no penalty to your movement budget. Should a unit move into the [[sl:battle_tcs_controls]]Engagement Range[[/sl]] of a unit during an activation however, they will stop moving immediately and be locked in place. Any further movement will immediately result in them halting to prevent them from getting any closer to that enemy.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.013	You can [[sl:battle_tcs_config]]configure[[/sl]] a buffer zone around units in which you receive a warning and a chance to issue a new Move Activation after a unit enters this zone during a move. You only receive one warning per unit per round however.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.014	A regular Move Activation requires you to click on the battlefield to determine the destination of the move. If the destination is outside of reach, it will be reflected in the [[sl:battle_tcs_controls]]Status Pane[[/sl]]l and you can Activate your Unit again. Moving into combat range of an enemy unit is prohibited and will also result in a failed movement, but fear not, you may still Activate your unit at no penalty to your movement budget.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.015	When engaged in combat, the only Movement Activation that is permitted is a Retreat Activation. This will withdraw your unit from combat and send them towards a nearby battlefield edge. The unit will stop retreating once outside of [[sl:battle_tcs_controls]]Engagement Range[[/sl]] of any enemy unit.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.016	On the flanks, you might sometimes wish to Wheel a unit about to face an oncoming charge. Using the Wheel Activation you can select a direction and have the unit stay roughly in place, but reform to face the direction of your cursor.	false
advice_info_texts_localised_text_war.battle.hp.tcs_info.001	Tabletop Combat Simulator	false
advice_info_texts_localised_text_war.battle.hp.tcs_info.002	Tabletop Combat Simulator is a gameplay mod for Total War: WARHAMMER III that aims to recreate the feel of tabletop skirmishes inside the real-time battles: tighter unit control, simplified morale interactions, scaled damage, and modular rules for custom scenarios.	false
advice_info_texts_localised_text_war.battle.hp.tcs_info.003	t slows down the battles considerably, to the effect of allowing players to zoom in on their units and admire the combat from up close, without the pressure of micromanaging units into the ideal position or relying on reaction time to counter a flanking manouver. 	false
advice_info_texts_localised_text_war.battle.hp.tcs_info.004	This mod intends to be served as a framework and does not aim to deliver a balanced play experience. To that end a balance mod, with perhaps a compatibility submod, is required to be installed alongside of it. 	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.017	Lastly you may opt to Run Activate a unit. This will simply roll a dice internally and add an amount of movement to the unit's budget accordingly. The maximum extra distance can be configured in the [[sl:battle_tcs_config]]settings menu[[/sl]].	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.018	Shoot Phase	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.019	After moving your units in position, it is time for the Shoot Phase. In this phase your units can use their Shoot Activation to unlock their ranged attacks and rain destruction on their enemies. 	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.020	Remember that some spells and abilities require this Activation to be performed.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.021	Charge Phase	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.022	To bridge the gap left by the engagement range of units, you will have to issue a Charge Activation to your units. This lets them target an enemy and cross any zone of influence of enemy units. Internally, before a charge, a dice is rolled and the result is checked to the distance of the charge. Should the roll not be enough to make the charge, your unit will be rooted in place until their next available movement phase. 	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.023	Beware of relying on long charges! Your units may turn into sitting ducks during your opponent's turn should they fail to charge into combat. You only have once chance at every charge.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.024	The distance nad charge rolls can be configured in the [[sl:battle_tcs_config]]settings menu[[/sl]] in case you would like to tweak the numbers.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.025	Combat Phase	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.026	Finally it is time to spill some blood in Khorne's name. Every unit within engagement range of an enemy, both from the active player and the opponent's, can use their Fight Activation to unlock their deadly potential. For a short duration the unit is allowed to move to get closer to their targets, or perhaps to envelop them. And until their timer runs out they can deal damage to their targets or whoever comes in between.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.027	Fighting requires you to choose a target, but units will attack anything in melee range once they stop moving. It does however allow you to focus most of your attacks at one unit.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.028	It is up to you and your opponent whether you activate in turns during the Combat Phase, or if you go for an all out brawl and Activate your fighters in rapid succession.	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.029	Fighting is done by duration, so if you would like a more deadly game, you can increase the fighting time int the [[sl:battle_tcs_config]]settings menu[[/sl]].	false
advice_info_texts_localised_text_war.battle.hp.tcs_phases.030	Next: [[sl:battle_tcs_activations]]Activations[[/sl]]	false
advice_info_texts_localised_text_war.battle.hp.tcs_activations.001	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_activations.002	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_activations.003	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_controls.001	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_controls.002	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_controls.003	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_config.001	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_config.002	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_config.003	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_tips.001	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_tips.002	PLACEHOLDER	false
advice_info_texts_localised_text_war.battle.hp.tcs_tips.003	PLACEHOLDER	false
